order_id,total_price,time_placed,pickup_time,customer_id,shopper_id,vehicle_state,vehicle_license_plate,store_id,time_fulfilled
99HDV,69.4,2019-04-17T16:48:01.000Z,,SIP74,C0CRZ,OH,FNU-1358,2LJYP,2019-04-18T00:58:50.000Z
WB2RB,34.86,2019-04-17T19:09:00.000Z,2019-04-17T20:31:54.000Z,VICMO,HW29B,CA,494 LOC,1U31K,2019-04-18T00:45:51.000Z
1HJQJ,78.9,2019-04-17T20:35:15.000Z,,BXCKT,QEEUO,WA,1WRN470,QTB4W,2019-04-18T03:27:06.000Z
3C11P,22.83,2019-04-17T21:00:45.000Z,,4ET2B,JZ15D,CA,4ZN 934,ABRPL,2019-04-18T05:30:43.000Z
QZUDQ,47.18,2019-04-17T21:15:46.000Z,2019-04-17T22:24:53.000Z,7XKW1,HW29B,CA,VSK 628,1U31K,2019-04-18T03:11:49.000Z
KL38O,39.84,2019-04-17T22:03:29.000Z,,OYA6C,ZNA5V,OH,91A H16,N74AQ,2019-04-18T02:25:03.000Z
L2V7X,27.68,2019-04-18T03:11:56.000Z,2019-04-18T05:32:35.000Z,3DHF8,MK7BI,CA,8TI8531,2AKCB,2019-04-18T10:01:54.000Z
UNEK0,23.55,2019-04-18T03:12:36.000Z,,83CDB,I5IEP,MO,459 EAF,9JYTW,2019-04-18T09:13:11.000Z
4QAW6,7.76,2019-04-18T04:43:03.000Z,,T37XQ,YFBMO,OR,PJT-7675,U4IQO,2019-04-18T07:08:01.000Z
HNUEU,3.22,2019-04-18T06:16:52.000Z,2019-04-18T11:51:01.000Z,4SIBZ,53DQU,CA,0839,UAU1O,2019-04-18T13:59:46.000Z
68TQR,61.11,2019-04-18T08:20:04.000Z,,C465B,345P5,CA,016 QTH,S1F36,2019-04-18T16:11:45.000Z
229ZS,77.0,2019-04-18T08:46:48.000Z,,73992,FDB35,KS,30K T65,EHN88,2019-04-18T12:36:55.000Z
PJGPY,130.44,2019-04-18T13:14:28.000Z,,TYKGO,MX4YW,MT,MJJ 395,BIBX4,2019-04-18T17:52:25.000Z
YPJ00,51.16,2019-04-18T16:45:15.000Z,,UU6H1,WQFU4,CA,BVY0638,3WGHH,2019-04-18T20:55:24.000Z
889VW,24.15,2019-04-18T19:15:36.000Z,,DJ9Q8,GIIMF,CA,JBB 556,YSYH8,2019-04-18T23:10:31.000Z
PYOYM,128.02,2019-04-18T19:30:58.000Z,2019-04-18T20:53:37.000Z,HJEFN,X1IIA,CA,338 DHM,T1XVJ,2019-04-18T22:35:28.000Z
3GS9I,121.8,2019-04-19T00:53:17.000Z,,PSRCH,MK7BI,NV,67S•451,2AKCB,2019-04-19T08:11:05.000Z
81WFI,16.16,2019-04-19T02:48:45.000Z,2019-04-19T05:17:46.000Z,Y9ILH,LAU7S,CA,438FW,2IMPZ,2019-04-19T11:05:11.000Z
6AY0D,14.56,2019-04-19T03:25:27.000Z,2019-04-19T03:32:25.000Z,ETAIG,MBYBH,CA,3VR 240,XF7JM,2019-04-19T05:01:11.000Z
VF1CI,15.55,2019-04-19T06:02:52.000Z,2019-04-19T06:11:10.000Z,45T8O,K85P4,VT,L05 3GU,CUBUY,2019-04-19T07:52:24.000Z
NBD9U,241.38,2019-04-19T06:42:50.000Z,2019-04-19T11:24:02.000Z,IXEQQ,920AI,HI,2ZI6839,7IEJT,2019-04-19T13:52:09.000Z
41FYC,7.92,2019-04-19T08:58:07.000Z,,B64DW,9XKV3,SC,20-79067,BKIUG,2019-04-19T15:14:59.000Z
NTD8S,26.28,2019-04-19T09:30:07.000Z,,SVT7J,OTJ8K,CA,090 DBG,2AKCB,2019-04-19T17:17:15.000Z
CVA8G,138.06,2019-04-19T13:49:18.000Z,,IRSEU,NR6CU,CA,591-ETF,XUMD8,2019-04-19T15:41:18.000Z
WI1VX,30.65,2019-04-19T14:37:59.000Z,2019-04-19T20:17:26.000Z,479GS,1IVOT,CA,7U 4K3ZIN,I70TD,2019-04-19T23:04:31.000Z
ULDP9,15.27,2019-04-19T16:34:00.000Z,2019-04-19T19:47:27.000Z,GA4M4,OWDJI,CA,2NI 826,J3JKM,2019-04-19T21:35:24.000Z
544AQ,12.27,2019-04-19T17:39:56.000Z,,0JPK8,BQMU0,NV,VLY 710,8YOR0,2019-04-19T20:00:43.000Z
S9JSF,265.32,2019-04-19T18:14:30.000Z,2019-04-19T22:33:08.000Z,DAOFJ,RSCP9,ID,09-7382L,MY9U5,2019-04-19T23:47:21.000Z
F1KB1,17.58,2019-04-19T20:11:14.000Z,,NKUGP,E3GNS,ND,448-ERR,O5JJ4,2019-04-20T01:07:55.000Z
D7RMB,40.4,2019-04-20T00:56:51.000Z,2019-04-20T04:00:50.000Z,DC8T4,6WO13,MO,2Q 5144Y,4CZ4G,2019-04-20T08:55:58.000Z
1YYX4,40.98,2019-04-20T04:00:31.000Z,2019-04-20T08:22:56.000Z,XNX9O,FDB35,AR,77R TT2,EHN88,2019-04-20T11:05:01.000Z
YAJ64,137.76,2019-04-20T04:45:59.000Z,,VO0OF,WQFU4,CA,KOV 151,3WGHH,2019-04-20T07:01:57.000Z
LF0O2,10.17,2019-04-20T06:16:06.000Z,2019-04-20T09:22:24.000Z,IG7Q6,67LDL,CA,HQQ-2841,HQCMP,2019-04-20T15:01:48.000Z
06QXP,65.72,2019-04-20T10:17:51.000Z,2019-04-20T13:15:18.000Z,IY8QL,EIH2J,CA,710 YGP,K7GAU,2019-04-20T18:22:21.000Z
M44SZ,4.83,2019-04-20T11:55:41.000Z,2019-04-20T13:56:56.000Z,E3HT7,EIGF6,CA,020-KSP,I374Z,2019-04-20T17:29:13.000Z
Y1B96,103.04,2019-04-20T13:52:00.000Z,2019-04-20T18:50:37.000Z,4CD2W,4MJHN,CA,881 KYX,NAX4O,2019-04-20T23:42:29.000Z
9Y9IE,76.48,2019-04-20T20:17:02.000Z,2019-04-21T01:54:58.000Z,NQ93S,IZ7H1,NV,7PY0216,CGNL1,2019-04-21T03:17:58.000Z
CGM5D,3.88,2019-04-20T21:11:02.000Z,2019-04-21T02:43:57.000Z,HOGTV,HW4LH,CA,0X RM461,4SM88,2019-04-21T07:07:53.000Z
0PY8F,36.33,2019-04-20T21:55:11.000Z,,UJONB,PJ84C,CA,30W UK9,17KE2,2019-04-20T23:06:44.000Z
VJ485,16.17,2019-04-20T22:13:03.000Z,2019-04-20T22:56:47.000Z,R2992,NP78L,CA,Q77 0EP,KPM4N,2019-04-20T23:14:02.000Z
3D5ET,13.2,2019-04-20T22:42:14.000Z,,XHRE3,CYNR7,AR,QNR-108,HI9JV,2019-04-21T00:49:34.000Z
60CVU,52.56,2019-04-20T23:10:12.000Z,,D9EVU,8BLOK,AL,HD 6889,OO0E6,2019-04-21T04:14:12.000Z
67H8D,41.78,2019-04-21T00:40:59.000Z,2019-04-21T05:03:29.000Z,0IJE5,CVTAH,MN,I38 4AX,X52OV,2019-04-21T08:59:36.000Z
BNQZF,11.76,2019-04-21T02:23:07.000Z,,VI0E0,LO7O1,CA,41-HD22,1M1KC,2019-04-21T08:12:26.000Z
IFOK2,47.9,2019-04-21T04:17:02.000Z,,H3I7V,XQ4LX,CA,01-30086,FW8ZT,2019-04-21T14:22:32.000Z
E8KA6,14.79,2019-04-21T05:30:50.000Z,2019-04-21T10:14:41.000Z,TPGBI,K3UZB,CA,3HM9761,J3JKM,2019-04-21T15:35:50.000Z
KTTCN,65.22,2019-04-21T10:39:36.000Z,,M0XRR,7RVJN,CA,OYA-399,ZLYE6,2019-04-21T15:19:16.000Z
AUBV5,3.1,2019-04-21T10:55:47.000Z,2019-04-21T16:26:31.000Z,M1KHL,9RV8N,CA,1-77584,2IMPZ,2019-04-21T21:55:07.000Z
4QR5P,46.53,2019-04-21T14:55:50.000Z,,LEYBX,QYVI6,CA,406 IWL,THLUS,2019-04-21T19:03:41.000Z
GX56R,34.8,2019-04-21T15:17:03.000Z,,TTWYV,DX7SM,CA,427 ZDI,WEUEN,2019-04-21T21:16:10.000Z
5FPD3,95.66,2019-04-21T17:59:03.000Z,,12UQM,RFPMM,AL,OHT 179,PMAOO,2019-04-22T03:51:37.000Z
4N4YK,3.69,2019-04-21T18:03:29.000Z,,PZ83Q,VOMZD,IL,SWM 276,P87YO,2019-04-21T19:50:05.000Z
Y3J9S,78.13,2019-04-21T22:12:44.000Z,,4PKC4,5HHJ1,CA,P83-SLV,W6J6J,2019-04-22T02:21:35.000Z
PH2SV,225.52,2019-04-22T00:52:55.000Z,2019-04-22T02:09:55.000Z,I6LNW,RJQBV,CA,8KK3033,P6OR7,2019-04-22T05:11:19.000Z
LH4QK,16.11,2019-04-22T01:57:34.000Z,2019-04-22T07:48:56.000Z,NPPEA,FGYNW,CA,BYN-865,7ASSJ,2019-04-22T10:56:49.000Z
0PM84,59.04,2019-04-22T05:27:16.000Z,2019-04-22T07:37:16.000Z,YA68B,16YH6,CA,KXK-6148,70GOX,2019-04-22T08:43:29.000Z
4E7PV,213.76,2019-04-22T06:00:37.000Z,2019-04-22T11:29:09.000Z,V4ZVB,6U497,CA,5L WW583,MB2MD,2019-04-22T11:37:46.000Z
SC8IO,20.79,2019-04-22T06:43:09.000Z,2019-04-22T11:27:37.000Z,7S2FY,NQ84J,CA,464-029,D3O18,2019-04-22T13:47:22.000Z
YF17L,59.67,2019-04-22T11:12:14.000Z,2019-04-22T12:27:39.000Z,OY84I,3GXHB,CA,1ZD6402,7ZMG0,2019-04-22T13:52:19.000Z
XC2XC,3.96,2019-04-22T13:21:26.000Z,2019-04-22T17:13:14.000Z,62KTZ,R5Z9M,CA,40YS923,3HM75,2019-04-22T19:39:38.000Z
8JMAU,104.49,2019-04-22T13:23:35.000Z,,K119F,GO7CC,ND,9IME 75,VCL23,2019-04-22T20:46:22.000Z
CEKLT,1.98,2019-04-22T13:32:54.000Z,,EMKIB,FQRAJ,CA,UOJ Z49,LHSWE,2019-04-22T15:41:29.000Z
VD26R,18.12,2019-04-22T13:40:17.000Z,,PFSXG,TSSZD,CA,XBT-037,CAX0E,2019-04-22T20:05:02.000Z
EOXXT,98.1,2019-04-22T16:35:27.000Z,,IKH81,2Y183,MT,113-NQC,6J0JD,2019-04-23T00:27:06.000Z
BH33Z,54.2,2019-04-22T19:20:29.000Z,2019-04-23T00:40:46.000Z,LH8R7,FGYNW,CA,423 XSQ,7ASSJ,2019-04-23T04:38:22.000Z
HUQAG,142.86,2019-04-22T20:37:11.000Z,,IR922,Q8DEK,CT,4-J7171,UWZ2B,2019-04-23T00:46:00.000Z
NNUA0,16.32,2019-04-22T22:03:26.000Z,,NPL0G,DMR7G,CA,EI 4267,JESAR,2019-04-23T05:50:27.000Z
4IC08,49.86,2019-04-22T22:16:03.000Z,2019-04-23T02:19:45.000Z,A0T2E,CS6IM,ME,85QO6,UYQ5A,2019-04-23T03:06:21.000Z
2IY3M,55.92,2019-04-22T23:17:55.000Z,2019-04-23T03:41:22.000Z,WQUY3,RNZHO,DE,IBL-747,QTB4W,2019-04-23T09:29:29.000Z
A12UU,122.74,2019-04-22T23:47:57.000Z,2019-04-23T05:15:05.000Z,MW737,P2D9W,CA,0Q E1939,VDV4X,2019-04-23T08:30:28.000Z
P6AAT,14.56,2019-04-23T00:44:52.000Z,,GA2KM,NJG84,CA,MDL 026,1NXB6,2019-04-23T05:10:47.000Z
W595R,33.18,2019-04-23T01:42:07.000Z,2019-04-23T06:05:59.000Z,XAIB5,9VY80,CA,MLH 004,N4JNH,2019-04-23T10:30:48.000Z
FVE7P,41.99,2019-04-23T02:22:23.000Z,2019-04-23T04:20:49.000Z,BV1KQ,SPU5K,CA,811-QAL,SCPDY,2019-04-23T05:26:47.000Z
MTXVS,19.14,2019-04-23T03:46:59.000Z,2019-04-23T07:14:03.000Z,1AJHV,HW4LH,CA,231-YKB,4SM88,2019-04-23T11:11:43.000Z
8K3WZ,47.32,2019-04-23T05:41:03.000Z,2019-04-23T10:54:50.000Z,4TO8K,BXCKT,CA,M51 4OL,FNET8,2019-04-23T15:37:54.000Z
85K5A,17.0,2019-04-23T07:36:25.000Z,2019-04-23T10:07:51.000Z,HEMJ9,001PR,CA,2CIY400,WJ3DD,2019-04-23T13:06:06.000Z
CWBC2,86.72,2019-04-23T10:34:01.000Z,2019-04-23T14:56:09.000Z,4VAFQ,8PE3A,CA,QG2 3406,YPSG5,2019-04-23T19:57:30.000Z
2UFDD,16.56,2019-04-23T13:52:06.000Z,2019-04-23T18:00:13.000Z,HMYF3,6JLXT,CA,NNI F33,G9V7E,2019-04-23T23:46:27.000Z
ZCU0T,42.57,2019-04-23T15:00:03.000Z,,KXPC6,RF1QJ,CA,015 4TO,HGFPR,2019-04-23T22:46:31.000Z
VUGCE,21.1,2019-04-23T16:25:52.000Z,,6M4DC,ZTN0U,CA,EO 51400,FNJXE,2019-04-23T23:08:36.000Z
L9ILL,23.52,2019-04-23T20:07:11.000Z,,A91V1,KUGE3,CA,JN 7770,4SRHC,2019-04-24T03:31:30.000Z
2SEXM,20.2,2019-04-23T20:35:26.000Z,,6CFW4,QNZJQ,CO,24IO915,DV8C3,2019-04-23T22:50:21.000Z
22QA2,121.39,2019-04-23T20:53:57.000Z,,LL650,2445R,SD,442V,CGNL1,2019-04-24T03:02:16.000Z
8YYFL,38.8,2019-04-23T20:56:16.000Z,,3NRG2,ROZ39,TN,S72 8UA,3T1TP,2019-04-23T23:17:09.000Z
1U5WB,385.49,2019-04-23T21:59:50.000Z,2019-04-24T00:20:53.000Z,FDB35,5GRXX,CA,SS 33593,27I5T,2019-04-24T04:01:18.000Z
PLXFL,121.02,2019-04-23T22:18:13.000Z,,ZR2U6,TWAG1,MA,13VL3,ZNOFW,2019-04-24T06:31:02.000Z
LVR53,31.02,2019-04-23T22:19:17.000Z,,MWQLG,5K9WH,ND,89T BQ2,VHNP8,2019-04-24T02:52:05.000Z
HOO5G,67.5,2019-04-23T22:52:52.000Z,2019-04-24T01:49:58.000Z,AT9JR,FQFAD,CA,033 XN4,8J54U,2019-04-24T03:07:41.000Z
8OK9U,40.4,2019-04-24T00:27:01.000Z,,L6BWX,QJD0R,CA,Z02 7YT,3W6UE,2019-04-24T06:27:41.000Z
9HQT6,10.75,2019-04-24T00:58:34.000Z,2019-04-24T04:53:51.000Z,VKT3T,NTM3O,LA,3KI O46,SJCSG,2019-04-24T10:40:02.000Z
0VV0U,35.4,2019-04-24T01:15:15.000Z,2019-04-24T02:08:08.000Z,FQ0I1,LWN92,ID,459-LEY,EZ72N,2019-04-24T06:11:20.000Z
WZN97,147.76,2019-04-24T03:02:29.000Z,2019-04-24T05:11:06.000Z,TLLEG,JKCG6,CA,M 888014,O7HYF,2019-04-24T06:55:48.000Z
Q4DN7,22.77,2019-04-24T03:44:15.000Z,2019-04-24T07:14:07.000Z,O17D0,MR3R6,CA,7YFM 35,M77DZ,2019-04-24T08:24:12.000Z
56MZ2,25.35,2019-04-24T06:10:31.000Z,,G5Y7E,NL2AE,CA,323 EVR,I374Z,2019-04-24T09:22:26.000Z
N4E1B,20.31,2019-04-24T06:54:58.000Z,2019-04-24T09:33:34.000Z,Z3IVG,EIYQ8,CA,LJS 497,L38HG,2019-04-24T13:58:37.000Z
IOH75,11.85,2019-04-24T07:22:06.000Z,,UJONB,0P5W0,CA,30W UK9,OWVVA,2019-04-24T09:50:01.000Z
6TXOK,95.31,2019-04-24T08:11:27.000Z,,87BD5,UKPH3,CA,46PJ6,I22U5,2019-04-24T15:01:59.000Z
RKUL0,18.27,2019-04-24T09:21:05.000Z,2019-04-24T15:06:40.000Z,W0S1A,EIYQ8,CA,123-WRZ,L38HG,2019-04-24T15:27:30.000Z
H4ZIQ,82.76,2019-04-24T11:36:00.000Z,,A6NZW,TGLRH,CA,209-ZNO,8YOR0,2019-04-24T22:32:39.000Z
3EFEE,68.46,2019-04-24T12:09:11.000Z,,EWVMH,3DQU6,IN,6LKH 84,LXWG6,2019-04-24T16:35:05.000Z
C7XB9,66.42,2019-04-24T14:21:38.000Z,,9319P,HW4LH,CA,449 5AL,4SM88,2019-04-25T01:03:46.000Z
8UM75,129.1,2019-04-24T16:22:42.000Z,2019-04-24T20:00:38.000Z,JR6ZI,5IBDJ,AZ,69-6614C,HAGUN,2019-04-24T23:20:57.000Z
KWK6U,114.56,2019-04-24T19:16:02.000Z,2019-04-24T23:27:09.000Z,QBQRV,QFT7M,AZ,600F,T5RSD,2019-04-25T02:44:25.000Z
UQZ4H,18.62,2019-04-24T23:37:42.000Z,,YNUTG,PJ84C,CA,M31-YYU,17KE2,2019-04-25T06:50:21.000Z
G5PMT,51.73,2019-04-24T23:42:44.000Z,2019-04-25T01:39:15.000Z,A1O43,7BU11,CA,4-1602L,XGW8A,2019-04-25T04:32:58.000Z
49T9R,90.56,2019-04-25T02:29:43.000Z,,8T2WF,6CZ88,AZ,22-3633A,VOOWH,2019-04-25T09:52:20.000Z
0F7LC,40.4,2019-04-25T02:47:38.000Z,2019-04-25T07:17:36.000Z,3S3RA,8I2TB,CA,62RA9,BSSBT,2019-04-25T08:02:04.000Z
XKT0V,20.82,2019-04-25T05:59:33.000Z,,DSTQ1,XRCX9,HI,EQM-131,16G9G,2019-04-25T14:00:14.000Z
ZTRNT,50.34,2019-04-25T05:59:35.000Z,,7C18Y,HKOS5,FL,FQO-2012,XDTN7,2019-04-25T10:24:19.000Z
EZM0T,83.86,2019-04-25T06:33:11.000Z,,OTJ8K,UAS84,CA,305 IX6,X52OV,2019-04-25T09:26:44.000Z
U3MEV,77.4,2019-04-25T06:34:54.000Z,2019-04-25T07:27:00.000Z,PL7MN,PDQKA,NE,985FU,9JYTW,2019-04-25T11:58:54.000Z
062GS,68.46,2019-04-25T06:51:20.000Z,,N9ZBR,B41K6,CA,VV3 5957,6QSXS,2019-04-25T08:35:24.000Z
AXRB7,65.88,2019-04-25T07:11:53.000Z,2019-04-25T09:25:34.000Z,94WVD,6OZK4,PA,213-WOZE,HJI4K,2019-04-25T10:10:54.000Z
OI04Q,20.88,2019-04-25T07:47:23.000Z,,J9A97,BQV8F,WV,497 OTL,UO5H8,2019-04-25T12:29:58.000Z
87NP2,8.68,2019-04-25T08:05:25.000Z,,LYT9A,U1G0V,HI,HMR4671,FCOVT,2019-04-25T14:28:24.000Z
5CHPR,30.66,2019-04-25T08:19:21.000Z,2019-04-25T11:39:11.000Z,HCHU0,BGLPL,CA,9A406,ZQ79W,2019-04-25T14:58:18.000Z
R4PGP,17.99,2019-04-25T09:24:05.000Z,2019-04-25T14:11:57.000Z,56318,YNMFG,CA,164 1UG,3S8EB,2019-04-25T17:40:45.000Z
WOVFX,55.1,2019-04-25T16:11:00.000Z,2019-04-25T19:47:27.000Z,3EF0Z,E42JX,CA,202-DVU,1RMXY,2019-04-25T23:02:00.000Z
2ZPZ9,42.93,2019-04-25T19:16:26.000Z,2019-04-25T19:16:36.000Z,Q4CAC,C9KK8,CA,HTM 062,1O3SE,2019-04-26T00:22:55.000Z
IJ6YN,67.3,2019-04-25T19:50:07.000Z,2019-04-25T20:48:25.000Z,O4YMP,FPP2X,CA,4-9423N,R5Q61,2019-04-25T22:10:43.000Z
AX4GT,36.27,2019-04-25T20:41:18.000Z,,36ILA,92KQS,KS,ED-2390,3XUGZ,2019-04-25T21:22:52.000Z
PNIZZ,30.72,2019-04-25T23:52:14.000Z,,MADTM,3Z8YM,TN,797 9OR,AZUGT,2019-04-26T07:30:47.000Z
3QYEW,16.5,2019-04-25T23:58:05.000Z,,0XPKD,QA55Z,MN,VNX 8215,FWJY6,2019-04-26T05:44:52.000Z
8LTIN,6.44,2019-04-26T00:08:43.000Z,,H6SVE,KYDVM,CA,55F 0844,DZ3S4,2019-04-26T01:29:09.000Z
4LUKG,7.67,2019-04-26T01:22:25.000Z,2019-04-26T04:11:02.000Z,HV0E1,5RZTU,CA,377 THR,596YT,2019-04-26T08:54:44.000Z
5ZGHJ,93.2,2019-04-26T01:23:37.000Z,,73HCU,T6YDW,CA,09BO7,NBO2D,2019-04-26T04:39:38.000Z
JUKBT,87.36,2019-04-26T02:01:12.000Z,2019-04-26T02:27:06.000Z,R624W,1E2AK,AZ,406 QNW,OQVXB,2019-04-26T03:11:46.000Z
EFH82,7.02,2019-04-26T02:28:21.000Z,,41FOW,9CS1N,CA,6-2148Q,KPWY0,2019-04-26T05:29:34.000Z
RLTYX,9.9,2019-04-26T03:23:33.000Z,,FAEQ5,BIWA5,TX,7XM 115,0PHNB,2019-04-26T10:48:34.000Z
HSVO1,105.25,2019-04-26T04:00:58.000Z,2019-04-26T07:45:11.000Z,RAWXO,ED0SR,CA,743 BTU,7LKQH,2019-04-26T10:37:58.000Z
W71RB,35.82,2019-04-26T04:17:05.000Z,2019-04-26T09:12:22.000Z,SH5UQ,QPU8U,UT,878-359,3S8EB,2019-04-26T11:07:31.000Z
TRHFI,60.03,2019-04-26T08:54:18.000Z,2019-04-26T14:17:32.000Z,PSS4H,OO7GR,CA,2-S0673,ES4MT,2019-04-26T20:15:27.000Z
SPZMZ,83.6,2019-04-26T09:04:49.000Z,,6P1RP,1CGPG,CA,HTY0892,1HTLD,2019-04-26T16:27:39.000Z
S33VC,132.86,2019-04-26T10:46:59.000Z,,PDBFR,JXM68,CA,643 JKS,WCD8M,2019-04-26T18:49:15.000Z
JO7IX,9.05,2019-04-26T12:27:36.000Z,,LIIYJ,FAXWJ,MD,8P W0901,AGFF1,2019-04-26T23:38:26.000Z
4I7R7,28.92,2019-04-26T13:23:00.000Z,,UB1BJ,RYXD3,AR,109-IMV,HD3J9,2019-04-26T16:28:09.000Z
X64OJ,54.15,2019-04-26T13:49:27.000Z,,EJS8N,TOC4X,GA,NRG 175,48V79,2019-04-26T18:08:30.000Z
WO0VP,15.96,2019-04-26T15:14:41.000Z,2019-04-26T17:31:55.000Z,6OWD7,T49S9,CA,HYB 484,7O7TI,2019-04-26T22:39:29.000Z
69FBG,45.69,2019-04-26T16:04:31.000Z,2019-04-26T20:57:21.000Z,QW2XN,A9FZY,CA,8R FU108,LJ7HH,2019-04-26T21:37:16.000Z
OZVWT,20.07,2019-04-26T23:27:10.000Z,2019-04-27T02:03:08.000Z,9YU0Y,W5GOG,CA,OGC 921,FCR45,2019-04-27T05:05:01.000Z
PYKVE,70.3,2019-04-27T01:13:07.000Z,2019-04-27T05:36:16.000Z,S4D05,AIS2H,CO,3S 15905,SFZ1F,2019-04-27T09:21:03.000Z
VE0QK,20.16,2019-04-27T01:55:26.000Z,2019-04-27T06:52:31.000Z,XIOBY,MX4YW,CA,319-XNV,BIBX4,2019-04-27T08:13:47.000Z
U5HTT,94.99,2019-04-27T02:47:46.000Z,2019-04-27T04:12:23.000Z,LI1MW,0IBLC,CA,5X 0054L,SCPDY,2019-04-27T05:36:20.000Z
3B9W2,65.52,2019-04-27T06:44:36.000Z,2019-04-27T07:09:59.000Z,0W0QF,VOMZD,CA,789 6RL,P87YO,2019-04-27T12:58:28.000Z
PWD0Y,38.5,2019-04-27T08:04:28.000Z,2019-04-27T13:07:31.000Z,CALWH,1ZRV6,CA,8-89109,JESAR,2019-04-27T16:35:03.000Z
EXYUB,1.11,2019-04-27T08:10:25.000Z,,8RULI,ZPTE4,CA,EJK0697,O5JJ4,2019-04-27T13:53:38.000Z
D28G6,26.88,2019-04-27T10:46:53.000Z,,ZTS76,UFLXY,KY,UF0 3670,95P3J,2019-04-27T21:35:10.000Z
T8TS3,62.64,2019-04-27T11:01:19.000Z,2019-04-27T12:58:06.000Z,EKK2Q,1CGPG,CA,W 117471,1HTLD,2019-04-27T14:12:22.000Z
C97BA,21.78,2019-04-27T11:58:33.000Z,,KMD2W,P2D9W,MN,HCM 409,VDV4X,2019-04-27T16:40:48.000Z
8N4O3,4.42,2019-04-27T12:56:10.000Z,,UTU6N,YZNCV,MI,884-AQG,YEG9C,2019-04-27T16:13:11.000Z
VCKII,93.38,2019-04-27T16:11:11.000Z,,K5365,OEGS4,CA,968-ATS,YS74A,2019-04-28T02:07:39.000Z
ZXWUF,7.38,2019-04-27T19:04:20.000Z,,V7ZPX,CPR6M,IL,44-LG89,12XXK,2019-04-28T00:58:20.000Z
COA8Y,6.93,2019-04-27T19:47:19.000Z,,054AW,VQLN0,CA,YQG-477,C6EQ7,2019-04-27T22:37:36.000Z
53JN2,92.52,2019-04-27T21:13:28.000Z,2019-04-28T00:39:40.000Z,Q343T,XDA65,CA,LOC 821,O8P7C,2019-04-28T03:51:22.000Z
9KNZ0,16.24,2019-04-27T22:01:04.000Z,2019-04-28T03:48:50.000Z,8RBO8,CNPV2,PA,767MTA,TG6R5,2019-04-28T06:40:03.000Z
AB9FY,385.11,2019-04-27T22:26:56.000Z,2019-04-27T22:45:52.000Z,JUV9N,8120Q,CA,51-XH80,VRGID,2019-04-28T00:41:19.000Z
6O53T,11.8,2019-04-28T02:15:49.000Z,,OLFII,H7SZ7,CA,981166,G9N3Z,2019-04-28T07:43:38.000Z
TA4BM,11.16,2019-04-28T03:44:30.000Z,2019-04-28T03:45:56.000Z,IIPGW,UY5CP,TX,ZWC 833,631TS,2019-04-28T07:28:07.000Z
TYOQN,11.35,2019-04-28T04:24:42.000Z,,WQFU4,0Y5OX,CA,LU-4655,7N4UM,2019-04-28T13:39:59.000Z
AQDOO,13.2,2019-04-28T04:42:21.000Z,2019-04-28T05:32:12.000Z,8ZW1G,U1OPI,MT,4W NV772,FCOVT,2019-04-28T07:02:53.000Z
YCOGT,54.25,2019-04-28T07:50:08.000Z,,WZXFL,4IT2L,OH,A09-85Q,TBOG4,2019-04-28T18:13:23.000Z
Q8DMH,133.54,2019-04-28T13:35:08.000Z,2019-04-28T16:23:37.000Z,PWE0Z,CS6IM,TN,JVI 461,UYQ5A,2019-04-28T16:58:58.000Z
ONNKS,23.16,2019-04-28T14:00:36.000Z,2019-04-28T19:52:33.000Z,GRF4S,29I41,NC,NWQ 924,FIB83,2019-04-29T01:32:23.000Z
PPKP0,3.83,2019-04-28T15:40:58.000Z,2019-04-28T17:14:34.000Z,NZ6RH,IVCLP,CA,MR8 3863,VOOWH,2019-04-28T19:48:36.000Z
4T4V8,8.72,2019-04-28T19:52:05.000Z,2019-04-28T22:09:18.000Z,2DR30,HW4LH,GA,0VP 603,4SM88,2019-04-29T02:23:19.000Z
SS8VT,17.2,2019-04-28T21:04:52.000Z,,V1IGF,DKMZI,MN,N34-32W,2YRRD,2019-04-29T05:57:04.000Z
MD26V,62.94,2019-04-28T22:55:18.000Z,,7ZEZ2,34DA5,CA,68N 508,OSKEM,2019-04-29T01:00:04.000Z
5B050,20.75,2019-04-29T00:01:14.000Z,2019-04-29T03:24:16.000Z,KTIAE,4GXAV,CA,626-LFU,L38HG,2019-04-29T08:40:38.000Z
7M9CQ,33.55,2019-04-29T03:13:40.000Z,2019-04-29T08:59:28.000Z,Y6XVK,80RYL,CA,3G 05944,AR4Q8,2019-04-29T13:38:44.000Z
TD7V4,98.4,2019-04-29T04:44:08.000Z,,YHZ34,BQMU0,CA,BKY 595,8YOR0,2019-04-29T11:36:58.000Z
EHXFU,41.84,2019-04-29T04:44:51.000Z,,JU4V4,PUNDM,IA,10C•000,E2F4D,2019-04-29T11:03:37.000Z
MI34D,135.81,2019-04-29T05:28:31.000Z,2019-04-29T07:09:04.000Z,HD7D7,MPSWT,MI,729 AN5,VB0UG,2019-04-29T12:46:23.000Z
VP47H,25.28,2019-04-29T11:38:13.000Z,,12JQD,C9KK8,VT,T34 2NC,1O3SE,2019-04-29T15:37:55.000Z
0T0Y9,13.64,2019-04-29T13:44:41.000Z,2019-04-29T16:40:53.000Z,4VJZ1,BD8T1,CA,VFV1056,TMZ9R,2019-04-29T20:04:07.000Z
