state,license_plate,year,model,make,color
CA,164 8603,2007,Colorado,Chevrolet,Silver
CA,165-BOH,,F-150,Ford,Navy
CA,166 TRY,,,Volkswagen,Purple
CA,167 RS2,,Tahoe,Chevrolet,Green
CA,168 QLU,,Tahoe,Chevrolet,Olive
CA,1689,,,GMC,Black
CA,16IZ856,,,Nissan,Teal
CA,16K U39,2012,Sierra 2500HD,GMC,Olive
CA,16RF3,2010,Accord,Honda,Black
CA,17-91298,,,Kia,Lime
CA,174-HES,2012,Routan,Volkswagen,Gray
CA,175-018,,,GMC,Teal
CA,175-NJX,2012,,Nissan,Maroon
CA,178 WAT,,,Chevrolet,Maroon
CA,17OD911,,C30 1 ton P/U 2WD,Chevrolet,Yellow
CA,17T G10,,Routan,Volkswagen,Teal
CA,180 NWE,,Cobalt,Chevrolet,Fuchsia
CA,181S,,F-350 Super Duty,Ford,Purple
CA,183WXJ,,,Ford,Aqua
CA,184-JEA,,,Dodge,Fuchsia
CA,186N0,,,Chevrolet,Green
CA,188GRG,2012,Silverado 2500HD,Chevrolet,Aqua
CA,189-WMVP,2010,MAZDA3,Mazda,Yellow
CA,18B Y59,2010,Sienna,Toyota,Silver
CA,18Y V95,,SX4,Suzuki,Olive
CA,19-ZZ05,,Pathfinder,Nissan,Green
CA,191-PAW,,,Buick,Blue
CA,191-RLQ,2010,MAZDA3,Mazda,Black
CA,194 EM2,2008,,Ford,Olive
CA,194 SYC,,Entourage,Hyundai,Aqua
CA,194-KIJJ,2012,Sierra 2500HD,GMC,Teal
CA,195FIV,2008,,Toyota,White
CA,196-DPY,2007,,GMC,Navy
CA,196-RQV,2010,599,Ferrari,Gray
CA,196W3,,,Chevrolet,Purple
CA,197-QHS,2009,,Land Rover,Green
CA,198AP,,Taurus,Ford,Navy
CA,199 NRT,,,Ford,White
CA,19A P84,,,GMC,Silver
CA,19E C50,,Explorer,Ford,Green
CA,1BSV 71,2001,,Chevrolet,Teal
CA,1D IN881,2011,,Ram,Green
CA,1DK5114,2008,,Mercury,Maroon
CA,1EL 589,2009,4Runner,Toyota,Green
CA,1F 4Y8NDZ,2008,,Ford,Silver
CA,1F549,2006,,Ford,Fuchsia
CA,1FB J46,2010,,Honda,Purple
CA,1FE 248,,,Nissan,Gray
CA,1FI 469,2006,,Toyota,Fuchsia
CA,1FP X68,,,Dodge,Gray
CA,1GLA263,2012,Frontier,Nissan,Olive
CA,1GQ5565,2001,S-10,Chevrolet,Silver
CA,1H 4T5JSX,,DBS,Aston Martin,Black
CA,1HDC021,2004,,Chevrolet,Blue
CA,1HP1663,2008,Sebring,Chrysler,Fuchsia
CA,1IQ4518,2010,Tacoma,Toyota,Lime
CA,1IZ28,2012,Tundra,Toyota,Black
CA,1KS2103,2011,X5,BMW,Gray
CA,1M 0Y5QGF,2009,,Ford,Purple
CA,1M013,2009,Prius,Toyota,Green
CA,1N MW769,,F-150,Ford,Fuchsia
CA,1NTF661,2007,,Toyota,Green
CA,1PCK 05,,,Ford,Maroon
CA,1Q751,2006,,Mazda,Lime
CA,1RF7811,,,Toyota,Teal
CA,1RY1373,2009,,Chevrolet,Purple
CA,1S 3655Z,,Silverado 3500HD,Chevrolet,Teal
CA,1S I1100,,,Audi,Blue
CA,1S Y5696,,Sierra 3500HD,GMC,Green
CA,1SJ 672,2007,Freestar,Ford,Olive
CA,1SK 676,2007,tC,Scion,Green
CA,1T 4F3IHW,,Ridgeline,Honda,Black
CA,1T640,,,Nissan,Fuchsia
CA,1TD E83,2012,370Z,Nissan,Lime
CA,1UA E43,,,Ford,White
CA,1VU 215,,,Ford,Lime
CA,1VZ U81,,,Mercedes-Benz,Gray
CA,1WL X53,,,Ford,Black
CA,1X 3682S,,,Jeep,Teal
CA,1X 7062E,,Silverado 3500HD,Chevrolet,Navy
CA,1X A0440,,,Kia,Olive
CA,1YD D73,2010,,Nissan,Gray
CA,1YWI280,,Silverado 1500,Chevrolet,Blue
CA,1Z 6261N,2012,,Ford,Gray
CA,1Z A7627,2002,Explorer,Ford,Blue
CA,1ZD6402,2007,Ranger,Ford,Maroon
CA,2-0358D,,Prius,Toyota,Navy
CA,2-14949,,Express Cargo,Chevrolet,Yellow
CA,2-1644E,,,Chevrolet,Silver
CA,2-58399,2002,,Ford,White
CA,2-61781H,2012,Silverado 3500HD,Chevrolet,Teal
CA,2-87285,,,Toyota,Black
CA,2-95521,2007,tC,Scion,Black
CA,2-95685,,Ridgeline,Honda,Aqua
CA,2-G2863,,Regal,Buick,Fuchsia
CA,2-S0673,2004,Silverado 2500HD,Chevrolet,Blue
CA,2-S1846,,,Chevrolet,Silver
CA,2-U3901,2012,,Kia,Navy
CA,20-30742,2008,Ridgeline,Honda,Teal
CA,20-59106,2012,Kizashi,Suzuki,Green
CA,200A3,2010,Eclipse,Mitsubishi,Lime
CA,201 ZRQ,,,Ram,Gray
CA,202-DVU,2007,,GMC,Fuchsia
CA,203ECO,,Silverado 2500HD,Chevrolet,Green
CA,2044,2007,911,Porsche,Black
CA,205 PQ3,,Frontier,Nissan,Maroon
CA,205-LIW,,,Ford,Silver
CA,207-XUP,2010,,GMC,Blue
CA,208-QGS,,Sierra 2500HD,GMC,Purple
CA,209-ZNO,,4Runner,Toyota,Maroon
CA,20XR2,,,GMC,Blue
CA,210-GSK,,370Z,Nissan,Maroon
CA,2112,2009,,Subaru,Fuchsia
CA,211221,2012,,Chevrolet,Aqua
CA,212-YOD,,,MINI,Black
CA,214 EUF,,Flex,Ford,Gray
CA,215 XGW,2012,,Volkswagen,Teal
CA,216-LJQ,,,Toyota,Gray
CA,2163 VH,,,Audi,Teal
CA,217 CMS,2006,,Ford,Olive
CA,217-JCS,,,Suzuki,Yellow
CA,21F 5417,2010,,Toyota,White
CA,220 WYL,,Cooper Clubman,MINI,Teal
CA,220-FZL,2008,F-350 Super Duty,Ford,Maroon
CA,220-GCL,,Cruze,Chevrolet,Maroon
CA,221 9JL,,,Cadillac,Teal
CA,221 VUV,2012,,Nissan,Gray
CA,221-OIU,2008,,Jeep,Silver
CA,222 GAE,2007,,Scion,Gray
CA,223 LDO,2008,Mariner,Mercury,Silver
CA,223 YVU,2010,,Volkswagen,Fuchsia
CA,228 VDM,,,Chevrolet,Silver
CA,229 9LD,,,Saturn,Navy
CA,229 GFY,2012,Escalade,Cadillac,Navy
CA,22D•212,2007,Colorado,Chevrolet,Yellow
CA,230 RAZ,2007,,Volkswagen,Navy
CA,230543,,Golf,Volkswagen,Gray
CA,231-XNG,,911,Porsche,Purple
CA,231-YKB,,,Honda,Purple
CA,237-205,,A4,Audi,Green
CA,237PDD,2006,Range Rover Sport,Land Rover,Fuchsia
CA,238 0CG,,,Chevrolet,Gray
CA,23D K05,,Highlander,Toyota,Yellow
CA,243-EHC,,Suburban,Chevrolet,Black
CA,245-UXN,2007,,Suzuki,Olive
CA,246 8CD,2012,,Chevrolet,White
CA,248-ILT,,,Toyota,White
CA,248V,2012,Tribeca,Subaru,Teal
CA,249HXR,2006,Tundra,Toyota,White
CA,24F N19,2002,,Chrysler,Navy
CA,25-53103,2010,,Mitsubishi,Fuchsia
CA,250OK,2007,Crown Victoria,Ford,Silver
CA,2535,2007,Colorado,Chevrolet,Aqua
CA,256 IBO,2007,,Ford,White
CA,256NT,,Tahoe,Chevrolet,Silver
CA,257 PHA,,Tundra,Toyota,Green
CA,257ST,,,Toyota,Gray
CA,259 4CN,,Sonoma,GMC,Aqua
CA,259 SLW,2011,,Honda,Teal
CA,259-HJFF,2012,Sierra 3500HD,GMC,Aqua
CA,25FY9,,XL-7,Suzuki,Gray
CA,25M T30,,,Volkswagen,Aqua
CA,260 BTS,,Routan,Volkswagen,Blue
CA,262SHR,,CTS Coupe,Cadillac,Navy
CA,265 MWS,2009,4Runner,Toyota,Green
CA,265-QBY,2010,,Acura,Aqua
CA,265-QNF,,Lesabre,Buick,Green
CA,265L,,Frontier,Nissan,Silver
CA,267 TRP,2010,,Mazda,Yellow
CA,2685,2006,,Toyota,Olive
CA,27-9572U,,Impreza,Subaru,Aqua
CA,27-Q017,2007,,Volkswagen,Maroon
CA,27-Z946,,Grand Caravan,Dodge,Yellow
CA,270 6530,2011,,Ford,White
CA,271LEH,,Frontier,Nissan,Teal
CA,272-SMS,2006,,Toyota,Yellow
CA,273 OFE,2006,Canyon,GMC,Green
CA,2730 QD,,,GMC,Lime
CA,274 1JY,2012,F-150,Ford,Purple
CA,274 GFB,2011,Acadia,GMC,White
CA,275-VAK,2010,,Ford,Olive
CA,277303,,Sedona,Kia,Silver
CA,278-CWX,,,Toyota,Yellow
CA,27UU9,2011,RX-8,Mazda,White
CA,27X•665,2008,Ridgeline,Honda,Lime
CA,28-BH24,,,Ford,Lime
CA,28-M799,2011,Golf,Volkswagen,Green
CA,281432,,,Nissan,Olive
CA,281517,,,Chrysler,Navy
CA,283 4BE,,,Nissan,Green
CA,285 0271,,MAZDA6,Mazda,Gray
CA,285 8UE,2010,Sierra 3500HD,GMC,Teal
CA,286 WP8,2011,,Cadillac,Fuchsia
CA,289 7NC,2007,RAV4,Toyota,Aqua
CA,28D N72,,,Acura,Teal
CA,28J 0099,,,Audi,Lime
CA,28X V04,,RL,Acura,Blue
CA,28ZR4,2006,,Toyota,Maroon
CA,29-48469,,,Honda,Aqua
CA,29-9341U,,,Honda,Gray
CA,290-FBN,,,Honda,Teal
CA,291 0410,2008,,Ford,Aqua
CA,291-RDR,,Cube,Nissan,Silver
CA,296 UPV,1990,,Mercedes-Benz,Black
CA,297 UFQ,,F-350 Super Duty,Ford,Yellow
CA,298 3HH,2008,,Acura,Purple
CA,29B•304,2006,,Nissan,Olive
CA,29LE790,,,Ford,Lime
CA,2AG 149,2011,,Mercury,Yellow
CA,2AMZ 95,,XF,Jaguar,Teal
CA,2B 8C9GJU,,,Nissan,Lime
CA,2BT9347,2007,,Ford,Olive
CA,2C I1498,2012,,GMC,White
CA,2CG 045,2010,,Nissan,Teal
CA,2CIY400,2008,Silverado 3500HD,Chevrolet,Navy
CA,2D FG735,2007,,Saab,Olive
CA,2DJL130,2005,,Mitsubishi,Olive
CA,2E 4F3RMV,2009,Prius,Toyota,Olive
CA,2E 51023,,911,Porsche,Gray
CA,2E V7272,,,Suzuki,Lime
CA,2ELG514,,Express,Chevrolet,Yellow
CA,2EX7612,2012,,GMC,Green
CA,2EZ42,2001,S-10,Chevrolet,Gray
CA,2FZ8822,,TrailBlazer,Chevrolet,Navy
CA,2G390,,3500,Ram,Aqua
CA,2HDH170,,Grand Cherokee,Jeep,Fuchsia
CA,2HJ 884,,Tundra,Toyota,Olive
CA,2I B4077,,F-350 Super Duty,Ford,Teal
CA,2I T7437,2012,,Chevrolet,Lime
CA,2J 1885T,,,Suzuki,Green
CA,2JD1688,,,GMC,Purple
CA,2KB X41,2010,,Ford,Fuchsia
CA,2KV6373,,Rabbit,Volkswagen,Teal
CA,2MMC288,2011,,Toyota,Olive
CA,2MT3397,1998,Ram Pickup 2500,Dodge,Navy
CA,2MZ3354,2008,,Suzuki,Gray
CA,2NC 131,,Sonoma,GMC,Maroon
CA,2NG7133,,,Land Rover,Lime
CA,2NI 826,,Focus,Ford,Olive
CA,2NL 236,,MAZDA6,Mazda,Maroon
CA,2O J5030,,3500,Ram,Green
CA,2P D4699,2004,,Lincoln,Teal
CA,2PX 237,,,Dodge,Fuchsia
CA,2Q Z7419,,,Volkswagen,Maroon
CA,2QCB057,,,Toyota,White
CA,2QH 594,,,Volkswagen,Yellow
CA,2QN L49,2007,,Ford,Aqua
CA,2RI 792,,,Suzuki,Fuchsia
CA,2SSI023,2010,Frontier,Nissan,Navy
CA,2SX 313,2007,,Hyundai,Purple
CA,2T564,2012,370Z,Nissan,Green
CA,2U516,2012,,Kia,Teal
CA,2UM18,,,Chevrolet,Fuchsia
CA,2V TT128,,,Saab,Green
CA,2VN N59,2006,,Honda,Green
CA,2VPD743,,S4,Audi,Black
CA,2W 8056G,,A6,Audi,Fuchsia
CA,2WC1354,,Sierra 2500HD Classic,GMC,White
CA,2WK2870,2010,Passat,Volkswagen,Aqua
CA,2WTU364,2010,,GMC,Black
CA,2XK B72,,,Ford,Teal
CA,2Y856,2012,,Toyota,Fuchsia
CA,2ZA2624,,,Chevrolet,Silver
CA,2ZI 934,,,GMC,Fuchsia
CA,3-05456,,,Toyota,Fuchsia
CA,3-06915C,,Savana Cargo,GMC,Green
CA,3-08050,,,GMC,Maroon
CA,3-12596,,Sequoia,Toyota,Aqua
CA,3-23407B,2010,,GMC,Navy
CA,3-4492S,2000,,Ford,Aqua
CA,3-53591,,Silverado 3500 Classic,Chevrolet,Purple
CA,3-57101,2008,,BMW,Fuchsia
CA,3-65116L,2000,,Ford,Lime
CA,3-66564,,Caravan,Dodge,Silver
CA,3-70184,2009,Commander,Jeep,Blue
CA,3-7086Q,2007,,Mazda,Yellow
CA,3-77418,,,Audi,Fuchsia
CA,3-83361,2012,Golf,Volkswagen,Green
CA,3-8538T,2012,,Toyota,Olive
CA,3-89699B,2010,LS 460,Lexus,Navy
CA,3-90408P,,DTS,Cadillac,Silver
CA,3-C0884,,,Mazda,Yellow
CA,3-K2255,,S4,Audi,Gray
CA,3-K9839,,Outback,Subaru,Navy
CA,30-4432U,,Regal,Buick,Silver
CA,301 KFT,,Highlander,Toyota,Silver
CA,302 FQG,2012,Escalade EXT,Cadillac,Silver
CA,302 MAJ,,Prius,Toyota,Black
CA,303-KDH,2009,,Chevrolet,Maroon
CA,304 TLG,,,Chevrolet,Purple
CA,305 IX6,,,Ford,Yellow
CA,307 9FZ,2011,Silverado 1500,Chevrolet,Green
CA,30E 189,,,Cadillac,Silver
CA,30OO8,,,Nissan,Blue
CA,30W UK9,2006,Accord,Honda,Green
CA,30WL065,,K1500 1/2ton Sub 4WD,GMC,Fuchsia
CA,312 DZQ,,,Toyota,Green
CA,312 FWG,,,Chrysler,Purple
CA,314-268,,,Suzuki,Maroon
CA,314G,2007,,Porsche,Yellow
CA,315MEJ,2012,S4,Audi,Lime
CA,316AVK,,,Ford,Silver
CA,318 BSU,2007,Sierra 2500HD Classic,GMC,Maroon
CA,319 AXN,2012,,Toyota,Silver
CA,319-XNV,2009,,Honda,Olive
CA,320 ABM,,Maxima,Nissan,Olive
CA,320 XPN,2009,,Aston Martin,Fuchsia
CA,320-ZRQB,,,Ford,Yellow
CA,323 EVR,,,Aston Martin,Yellow
CA,323-FFI,,GTI,Volkswagen,Navy
CA,324 BNN,,,Chevrolet,Teal
CA,325039,,XL7,Suzuki,Blue
CA,326 UAL,2011,,Mercury,Black
CA,326G7,2008,,Jeep,Teal
CA,327 TCJ,2012,370Z,Nissan,Gray
CA,327-FFX,2006,Insight,Honda,White
CA,328CHE,,911,Porsche,Teal
CA,328EFE,,Durango,Dodge,Aqua
CA,32D 8876,2008,,Mercury,Aqua
CA,32R D03,1996,,Chevrolet,Maroon
CA,332-SSE,2012,Savana Cargo,GMC,Navy
CA,333-288,,SRX,Cadillac,Blue
CA,3365 NR,,,Subaru,Lime
CA,337-XDTN,2000,,GMC,Gray
CA,338 DHM,,Silverado 3500HD,Chevrolet,Yellow
CA,339 1024,2008,,Mercury,Lime
CA,339-ONHW,,,Chevrolet,Black
CA,33D 9594,,Focus,Ford,Olive
CA,33K R41,,,Ford,Fuchsia
CA,33L UH7,2007,,Scion,Gray
CA,34-A214,,3500,Ram,Black
CA,34-P286,,Ram Pickup 1500,Dodge,Olive
CA,341 4332,2006,Relay,Saturn,White
CA,343-VNS,,,Mazda,Maroon
CA,344 UVJ,2008,F-450 Super Duty,Ford,Maroon
CA,344968,2009,,Lexus,Fuchsia
CA,344FI,2012,,Suzuki,Teal
CA,345-YOJ,2007,,GMC,White
CA,346 NRG,,Mariner Hybrid,Mercury,Blue
CA,347 9480,2009,,Honda,Silver
CA,348-HQM,2010,,Volkswagen,Teal
CA,3481,,EX35,Infiniti,Green
CA,349 PDM,2013,ILX,Acura,Purple
CA,34WR531,2008,F-350 Super Duty,Ford,Navy
CA,34Z•114,,Enclave,Buick,Purple
CA,35-05088,2005,,Kia,Teal
CA,35-A164,2005,,Chevrolet,Purple
CA,353EON,,,Chevrolet,Silver
CA,357-282,2007,S4,Audi,Yellow
CA,357-LWA,,,Toyota,Blue
CA,357UPN,2007,,Toyota,Aqua
CA,35F 3691,2008,,BMW,Lime
CA,35M•343,,F-350 Super Duty,Ford,Black
CA,35WA269,2012,Golf,Volkswagen,Maroon
CA,36-N850,,Econoline Wagon,Ford,Gray
CA,36-V039,2012,Regal,Buick,Fuchsia
CA,360105,,RL,Acura,Purple
CA,361-FMB,2007,,Mazda,Purple
CA,362 4975,2010,Express Cargo,Chevrolet,White
CA,367 6JY,,,Buick,Blue
CA,367-851,,,Saab,Purple
CA,368 ZJ9,2009,,Honda,Teal
CA,368XDW,,,Ford,Gray
CA,36T 0910,2010,,Acura,Fuchsia
CA,36TZ807,,,Dodge,Fuchsia
CA,37-LW58,2011,,Toyota,Lime
CA,371P,,Taurus,Ford,Black
CA,3729 ZI,2010,,Lexus,Teal
CA,372DKR,,F-350 Super Duty,Ford,Purple
CA,374 QRN,2008,,Toyota,Fuchsia
CA,374FEN,1998,Dakota,Dodge,Lime
CA,376 ZA1,,Silverado 3500HD,Chevrolet,Green
CA,377 THR,2012,Savana Cargo,GMC,Navy
CA,377-XFH,2011,RX-8,Mazda,Lime
CA,379U7,,,Jaguar,Navy
CA,38-U994,2010,Murano,Nissan,Gray
CA,380 RWT,2009,,Honda,Gray
CA,381 1LY,2011,,Toyota,Aqua
CA,382 TDH,,,Mazda,Olive
CA,384 4468,,Routan,Volkswagen,Navy
CA,384 EUO,2001,,Chevrolet,Yellow
CA,386 5DT,2011,Fiesta,Ford,Blue
CA,386 7ZB,,,Ford,Gray
CA,386-WAXF,2011,,Ram,Green
CA,387-ZQJ,2012,,Chevrolet,Navy
CA,38I W00,,,Chevrolet,Lime
CA,38P•373,,Taurus,Ford,Olive
CA,38RB642,,,Chevrolet,Aqua
CA,39-DW97,,,Toyota,Olive
CA,390QTS,2009,,Honda,Black
CA,392 UCI,,Ridgeline,Honda,Aqua
CA,392-DTM,,Commander,Jeep,Lime
CA,392-LRM,,Explorer,Ford,Gray
CA,395-UBC,1976,K1500 1/2ton Sub 4WD,GMC,Silver
CA,396 UUE,,MAZDA6,Mazda,Green
CA,396-GAR,,Silverado 3500HD,Chevrolet,Green
CA,396M8,,,Subaru,Lime
CA,397-GAT,2012,,Ford,Maroon
CA,397ARL,2006,Pathfinder,Nissan,Black
CA,398 CWK,,,Nissan,Green
CA,399 MYL,2006,,Toyota,Green
CA,3A 0J8GPD,2011,3 Series,BMW,Aqua
CA,3AZV321,,Colorado,Chevrolet,Lime
CA,3BI8064,1976,,GMC,Navy
CA,3BN 239,,,Lexus,Aqua
CA,3C O4969,2010,,Mitsubishi,Olive
CA,3DGG 59,,Silverado 2500HD,Chevrolet,Fuchsia
CA,3DIW589,1999,,Dodge,Teal
CA,3DR Q83,,Colorado,Chevrolet,Maroon
CA,3E 48518,,,Toyota,Yellow
CA,3ERY 10,,Dakota,Ram,Black
CA,3FS 761,2010,,Lexus,Olive
CA,3G 05944,,,Audi,Fuchsia
CA,3G E9027,2008,,Toyota,Yellow
CA,3GC 757,,,Dodge,Navy
CA,3HM9761,,,Ford,White
CA,3HW U46,2009,DTS,Cadillac,Blue
CA,3IGJ027,2013,,Kia,Yellow
CA,3IR G52,,,Chevrolet,White
CA,3IX 844,,,Honda,Green
CA,3J 3H2VIJ,,RX 350,Lexus,Green
CA,3JK 618,,Navigator,Lincoln,Blue
CA,3K 5X7UBT,,,Audi,Teal
CA,3KBM 82,,,Chevrolet,White
CA,3LQ N96,2009,,Toyota,Blue
CA,3M 8452N,2008,TSX,Acura,Maroon
CA,3MT 915,,Sierra 2500HD Classic,GMC,Maroon
CA,3NH4089,,F-350 Super Duty,Ford,Olive
CA,3O E8872,2011,,Jaguar,White
CA,3OG6347,2012,,Cadillac,Aqua
CA,3P 1Z4RPD,,F-150,Ford,Maroon
CA,3P 3K2NZN,,,Land Rover,Navy
CA,3P UP993,2012,370Z,Nissan,White
CA,3P933,,,Chevrolet,Olive
CA,3R D2386,,,Dodge,Navy
CA,3T 94986,1970,,Chevrolet,Yellow
CA,3U731,2007,,Mazda,Fuchsia
CA,3UM 870,2007,Freestar,Ford,Gray
CA,3VE 934,,Colorado,Chevrolet,Aqua
CA,3VR 240,2009,,Aston Martin,Green
CA,3WD4125,,Tacoma,Toyota,Aqua
CA,3YHF 68,2008,,Ford,Lime
CA,3YK50,2007,Accord,Honda,Black
CA,3ZYV059,2006,Pathfinder,Nissan,White
CA,4-1602L,2008,Magnum,Dodge,Green
CA,4-4933Y,,Tundra,Toyota,Lime
CA,4-71868,,Excursion,Ford,Silver
CA,4-83395,,,Chevrolet,Yellow
CA,4-92994,,,Volkswagen,White
CA,4-9423N,,,Chevrolet,Yellow
CA,4-B9278,2008,,Mercury,Gray
CA,4-D2960,,,Chevrolet,Navy
CA,4-J2705,,,Toyota,Yellow
CA,4-K2058,2011,Silverado 1500,Chevrolet,Blue
CA,4-V4347,,RL,Acura,Yellow
CA,40-1793D,2006,911,Porsche,Olive
CA,40-77516,,,Dodge,Olive
CA,401 LCS,2008,,Audi,Lime
CA,403478,,,Mazda,White
CA,404 3128,2006,,Toyota,White
CA,406 IWL,2012,Golf,Volkswagen,Fuchsia
CA,407-ZJG,2005,Spectra,Kia,White
CA,4081,,Outlander,Mitsubishi,Maroon
CA,40I PR0,2008,,Nissan,Yellow
CA,40T 4114,,,Dodge,Gray
CA,40W P88,2010,,Ferrari,Black
CA,40YS923,2011,Grand Vitara,Suzuki,Maroon
CA,41-HD22,,,Nissan,Blue
CA,410 GGN,,Silverado 3500,Chevrolet,Purple
CA,410 QV0,,,Buick,Navy
CA,411 YPO,2011,,Hyundai,Black
CA,412-ZMN,,Corvette,Chevrolet,Green
CA,414 9DR,2008,,BMW,Black
CA,416XGP,,Silverado 2500HD,Chevrolet,Olive
CA,419 AOR,2011,,Chevrolet,Aqua
CA,41R M65,,F-250 Super Duty,Ford,White
CA,41S•825,,,Ford,Navy
CA,41T 0375,2006,Range Rover Sport,Land Rover,Silver
CA,41X•617,,,GMC,Gray
CA,42-I104,,,Nissan,Aqua
CA,423 XSQ,,A6,Audi,Silver
CA,424-MSX,,,Jeep,White
CA,425-SOR,,,Chevrolet,White
CA,427 ZDI,,,Toyota,Lime
CA,42C K29,,,Volkswagen,Silver
CA,42L M67,2007,Ranger,Ford,Purple
CA,43-7930R,,Sierra 1500,GMC,Fuchsia
CA,432 GMX,,3500,Ram,White
CA,434 5GY,,,Chevrolet,Teal
CA,437 LB5,,599,Ferrari,Maroon
CA,438FW,2009,Prius,Toyota,Navy
CA,439-QZF,2010,Yaris,Toyota,Teal
CA,43B PM9,,Camry Solara,Toyota,Green
CA,43Q L30,,,Jeep,Navy
CA,44-I681,,Maxima,Nissan,Aqua
CA,440 2204,,,Mercedes-Benz,Maroon
CA,442 ZFP,,Relay,Saturn,Silver
CA,443 5FM,,Sebring,Chrysler,Aqua
CA,443-QTC,,Explorer,Ford,Navy
CA,444-HVX,2008,,Audi,White
CA,446-KKJ,2009,,Subaru,Fuchsia
CA,447-930,,,Chevrolet,Gray
CA,447-FXV,2008,Taurus,Ford,Green
CA,449 5AL,,,Ford,Purple
CA,449 RKZ,2007,MX-5 Miata,Mazda,Olive
CA,44E•207,2010,Tacoma,Toyota,Silver
CA,45-59440,2010,,Kia,Navy
CA,45-6813Q,,,Scion,Green
CA,45-CX21,,Cobalt,Chevrolet,Yellow
CA,450-BCJ,,4Runner,Toyota,Maroon
CA,452765,2009,Corvette,Chevrolet,Blue
CA,452S,,F-250 Super Duty,Ford,Fuchsia
CA,453 AQK,,TSX,Acura,Aqua
CA,455 UPJ,2008,S4,Audi,Navy
CA,457 HUW,,,GMC,Gray
CA,458 QFM,,Sierra 1500,GMC,Green
CA,458Y,,,GMC,Fuchsia
CA,459-DCH,,,Mazda,Green
CA,459-LAM,,Equator,Suzuki,Yellow
CA,46-HU91,,Civic,Honda,Silver
CA,461-QMA,,,GMC,Olive
CA,462 JBO,2008,Econoline Wagon,Ford,Lime
CA,462 OPM,2009,,Jeep,Navy
CA,462-TSN,2007,tC,Scion,Purple
CA,463 6OQ,,,BMW,Purple
CA,463 MBS,,,Chevrolet,Yellow
CA,463-UMM,2012,,Nissan,Aqua
CA,464-029,2010,,Mitsubishi,White
CA,467J,,,Volkswagen,Navy
CA,467N,,,Honda,Black
CA,468 VJZ,,,Ford,Gray
CA,468-NUN,,,Toyota,Green
CA,46D Q95,1996,,Chevrolet,Yellow
CA,46O I64,,Monte Carlo,Chevrolet,White
CA,46P W46,,Accord,Honda,Maroon
CA,46PJ6,2012,,Nissan,Silver
CA,46U•501,2008,,Chevrolet,Yellow
CA,470 GFO,2007,Ranger,Ford,Lime
CA,471 MQN,2010,RL,Acura,Yellow
CA,4728 CU,,,Audi,Purple
CA,475 3WW,,RL,Acura,Green
CA,476 WZB,2007,Frontier,Nissan,White
CA,479-TTA,2009,Cooper Clubman,MINI,Green
CA,479-YCEW,2006,Range Rover Sport,Land Rover,Aqua
CA,47M•101,2012,Sierra 3500HD,GMC,Yellow
CA,48-11562,,,Acura,Olive
CA,48-GB76,,,Chevrolet,Fuchsia
CA,480 3482,,,Chevrolet,Lime
CA,480 QTS,,,Kia,Blue
CA,480-NMB,2012,,GMC,Maroon
CA,481TB,2009,,Subaru,White
CA,482 GFD,,,Volkswagen,Teal
CA,483 USK,,Mountaineer,Mercury,Teal
CA,483-BAM,2010,Tundra,Toyota,Green
CA,4837,2008,,Buick,Teal
CA,483UGA,,K1500 1/2ton Sub 4WD,GMC,Blue
CA,484CU,,XL-7,Suzuki,Purple
CA,485-LWB,,Frontier,Nissan,Blue
CA,486 DAU,,,GMC,Blue
CA,486 TRK,,,Kia,Silver
CA,487K,2012,Escalade EXT,Cadillac,Aqua
CA,48A W79,,Prius,Toyota,Lime
CA,48P QD3,,tC,Scion,White
CA,49-TC71,2012,,Chevrolet,White
CA,4918 UO,,,Toyota,Yellow
CA,493DOW,,,Audi,Teal
CA,494 LOC,2000,,GMC,Green
CA,4960,,,Ford,Navy
CA,4964,2011,,Lotus,Maroon
CA,499E1,2007,Sierra 2500HD,GMC,Green
CA,49DO8,,RX-8,Mazda,Fuchsia
CA,49HJ328,2012,Escalade EXT,Cadillac,Black
CA,49K 967,2009,,Honda,Navy
CA,4B 91212,,Sedona,Kia,Black
CA,4C 2Z0WUS,2005,Outlander,Mitsubishi,Yellow
CA,4CU19,,Optima,Kia,Fuchsia
CA,4DCL989,,,Porsche,Fuchsia
CA,4EO69,2006,,Honda,Purple
CA,4EP 150,2006,S4,Audi,Gray
CA,4FF6381,,Ridgeline,Honda,Purple
CA,4FNW 98,,,Kia,Fuchsia
CA,4G 11689,2003,,GMC,Green
CA,4GI 444,2008,Sebring,Chrysler,Gray
CA,4HBI797,,,Nissan,Blue
CA,4I 1P1WOG,,Rio,Kia,Blue
CA,4I208,,Equator,Suzuki,Maroon
CA,4I438,,,Volkswagen,Black
CA,4JN2790,,,Chevrolet,Maroon
CA,4JW 406,,4Runner,Toyota,Lime
CA,4JXM928,,Silverado 2500HD,Chevrolet,Olive
CA,4KIP 66,,,Mazda,Blue
CA,4KJ09,,Insight,Honda,Black
CA,4KP9962,1996,Express,Chevrolet,Green
CA,4L 49677,,Accord,Honda,Black
CA,4L KI654,,Canyon,GMC,Lime
CA,4LP8731,2011,,Cadillac,Black
CA,4N VJ858,,,Toyota,Teal
CA,4N003,,Envoy XL,GMC,Fuchsia
CA,4NP3196,2012,Golf,Volkswagen,White
CA,4O954,,,Honda,Green
CA,4OC 331,,,Kia,Aqua
